time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,status,group,mz_error,score,adj_score
16.8,338.7862,5,1584700.0,0.456667,103,46,4,338.7862,20.595778,338.79,6.199947,1.6e-05,16.571667,17.028333,16.963147,A3,F1,use,338.77_338.8_1,0.00042,0.986604,1.183925
14.4,338.79699,5,940210.0,0.118167,20,14,2,338.79699,19.842623,338.8,5.973225,8e-06,14.340917,14.459083,14.736608,A2,F1,use,338.8_338.83_1,0.00025,0.95738,1.334677
15.5,338.79674,5,304580.0,0.085,14,8,3,338.79674,18.216462,338.8,5.483701,3e-06,15.4575,15.5425,15.686559,A3,F1,use,338.8_338.83_1,0.00025,0.95738,1.148856
41.5,341.01777,5,952300.0,0.124,7,6,2,341.01777,19.861057,341.02,5.978774,8e-06,41.438,41.562,42.574414,A2,F1,use,341.01_341.04_0,0.00014,0.661093,0.793311
38.3,341.01763,5,1275100.0,0.087667,7,6,2,341.01763,20.282179,341.02,6.105544,1.3e-05,38.256167,38.343833,39.388096,A1,F1,use,341.01_341.04_0,0.00014,0.661093,0.793311
12.8,342.00211,5,251290.0,0.042,5,4,2,342.00211,17.938994,342.0,5.400175,3e-06,12.779,12.821,13.163646,A1,F1,use,341.98_342.01_0,0.00208,0.731203,0.877443
9.94,342.00003,5,61716.0,0.0185,4,2,2,342.00003,15.913357,342.0,4.790398,6.146233e-07,9.93075,9.94925,9.767587,A3,F1,use,341.98_342.01_0,0.00208,0.731203,0.877443
43.0,342.7883,5,62810000.0,1.25,293,105,4,342.7883,25.904491,342.79,7.798029,0.000642,42.375,43.625,44.221622,A1,F1,use,342.77_342.8_1,4e-05,0.958676,1.340016
43.6,342.78834,5,102920000.0,1.2,272,95,4,342.78834,26.616948,342.79,8.0125,0.000895,43.0,44.2,44.731587,A2,F1,use,342.77_342.8_1,4e-05,0.958676,1.340016
42.2,342.78803,5,25239000.0,0.1265,10,6,2,342.78803,24.589151,342.79,7.402072,0.000219,42.13675,42.26325,43.293472,A2,F1,use,342.77_342.8_2,6e-05,0.948023,1.329363
42.2,342.78809,5,15854000.0,0.198333,20,11,2,342.78809,23.918344,342.79,7.200139,0.000162,42.100833,42.299167,43.398894,A1,F1,use,342.77_342.8_2,6e-05,0.948023,1.329363
42.6,342.78833,5,68111000.0,1.283333,212,101,4,342.78833,26.021384,342.79,7.833217,0.000678,41.958333,43.241667,43.531087,A3,F1,use,342.77_342.8_2,0.00024,0.941019,1.129222
45.7,342.98505,5,13085000.0,0.241667,16,7,3,342.98505,23.641411,342.99,7.116774,0.000114,45.579167,45.820833,46.88876,A2,F1,use,342.97_343.0_0,4e-05,0.992485,1.190981
45.5,342.98509,5,4120800.0,0.185,12,7,2,342.98509,21.974493,342.99,6.614982,4.2e-05,45.4075,45.5925,46.792647,A1,F1,use,342.97_343.0_0,4e-05,0.992485,1.190981
13.1,342.99727,5,1282400.0,0.721667,155,105,2,342.99727,20.290415,343.0,6.108024,1.1e-05,12.739167,13.460833,13.401215,A2,F1,use,342.98_343.01_0,8e-05,0.974723,1.363451
13.7,342.99719,5,747030.0,0.426667,96,62,2,342.99719,19.510807,343.0,5.873338,7e-06,13.486667,13.913333,13.837107,A3,F1,use,342.98_343.01_0,8e-05,0.974723,1.169668
16.7,344.01457,5,119870.0,0.0705,10,7,2,344.01457,16.871111,344.01,5.078711,1e-06,16.66475,16.73525,16.8604,A3,F1,use,343.99_344.02_0,0.00013,0.965501,1.158601
14.4,344.01444,5,362580.0,0.109,18,13,2,344.01444,18.46794,344.01,5.559404,3e-06,14.3455,14.4545,14.736608,A2,F1,use,343.99_344.02_0,0.00013,0.965501,1.158601
