mz,mostAbundantMz,charge,rtStart,rtApex,rtEnd,fwhm,nIsotopes,nScans,averagineCorr,mass,massCalib,intensityApex,intensitySum,Tmz,intensity,rt_start,time,rt_end,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
309.17207,309.17207,5,58.856006,58.871594,58.927338,0.092791,2,4,0.938617,1540.827859,1540.827729,574212.875,2797582.344,309.17207,2797582.344,58.856006,58.871594,58.927338,21.415749,6.446783,1.2e-05,309.17,60.280605,A3,F1,use,309.15_309.18_1,0.002642,0.921501,1.301941
309.169428,309.169428,5,59.351084,59.385738,59.519602,-0.261802,2,8,0.913918,1540.815853,1540.815905,920585.375,7141720.25,309.169428,7141720.25,59.351084,59.385738,59.519602,22.76784,6.853803,3.1e-05,309.17,61.150459,A1,F1,use,309.15_309.18_1,0.002642,0.921501,1.301941
309.172335,309.172335,5,59.666635,59.795265,59.809193,0.774086,2,7,0.80385,1540.825306,1540.825314,1631500.25,13688014.08,309.172335,13688014.08,59.666635,59.795265,59.809193,23.70641,7.13634,6e-05,309.17,61.572156,A1,F1,use,309.15_309.18_2,0.000198,0.980702,1.361143
309.172138,309.172138,5,60.297905,60.328216,60.391701,3.049876,2,4,0.850549,1540.823606,1540.823518,1105524.188,4739643.313,309.172138,4739643.313,60.297905,60.328216,60.391701,22.176347,6.675746,2.1e-05,309.17,61.775599,A3,F1,use,309.15_309.18_2,0.000198,0.980702,1.361143
309.282456,309.282456,5,12.825387,12.880665,12.918283,0.015386,2,11,0.999848,1541.376333,1541.376183,22847.49121,272523.165,309.282456,272523.165,12.825387,12.880665,12.918283,18.056019,5.435403,8.009497e-07,309.28,13.189885,A2,F1,use,309.26_309.29_0,8.6e-05,0.985634,1.182761
309.282542,309.282542,5,13.714025,13.749386,13.77279,-0.009868,2,6,0.963429,1541.37704,1541.376658,28128.70898,119672.0859,309.282542,119672.0859,13.714025,13.749386,13.77279,16.868727,5.077993,5.304371e-07,309.28,13.969756,A3,F1,use,309.26_309.29_0,8.6e-05,0.985634,1.182761
310.007738,310.007738,5,8.011509,8.084409,8.11203,0.048108,2,15,0.968247,1544.999327,1544.999559,45864.76758,522728.4219,310.007738,522728.4219,8.011509,8.084409,8.11203,18.995702,5.718276,2e-06,310.01,8.324647,A1,F1,use,309.99_310.02_1,7.8e-05,0.988936,1.186724
310.007661,310.007661,5,8.233673,8.258477,8.307449,0.074791,2,10,0.998716,1544.998198,1544.998056,30958.39648,351770.6064,310.007661,351770.6064,8.233673,8.258477,8.307449,18.424275,5.54626,1e-06,310.01,8.442475,A2,F1,use,309.99_310.02_1,7.8e-05,0.988936,1.186724
310.007972,310.007972,5,8.708809,8.749736,8.774722,0.103737,2,11,0.805533,1545.002889,1545.002646,80576.91797,693630.2275,310.007972,693630.2275,8.708809,8.749736,8.774722,19.403807,5.841128,3e-06,310.01,8.838401,A3,F1,use,309.99_310.02_1,0.000312,0.925939,1.111127
321.042547,321.042547,5,3.982573,3.988591,4.018108,-0.025645,2,5,0.963555,1600.171379,1600.171759,10322.78906,71557.2793,321.042547,71557.2793,3.982573,3.988591,4.018108,16.126811,4.854654,3.135538e-07,321.04,4.107117,A1,F1,use,321.02_321.05_0,0.000479,0.762223,0.914668
