charge,scan_number,time,rt_start,rt_end,intensity,goodness_fit,mz,Tmz,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
4,3,50.038948,49.995817,50.038948,230289.2782,0.992846,1380.700684,1380.700684,20.752283,6.24706,9e-06,1380.7,63.067351,A3,F1,use,1380.68_1380.71_2,0.000732,0.905633,1.446649
4,4,49.585717,49.489828,49.585717,1476925.053,0.996237,1381.201782,1381.201782,23.433361,7.054145,6e-05,1381.2,62.493329,A3,F1,use,1381.18_1381.21_0,0.000366,0.95006,1.480463
4,6,50.453985,50.403161,50.498456,3069754.794,0.998449,1381.202148,1381.202148,24.16815,7.275338,0.0001,1381.2,63.907989,A2,F1,use,1381.18_1381.21_0,0.000366,0.95006,1.303866
4,7,49.766242,49.724322,49.810627,713203.2721,0.997849,1381.202148,1381.202148,22.383149,6.737999,2.9e-05,1381.2,62.721966,A3,F1,use,1381.18_1381.21_1,0.000977,0.818972,1.547634
4,7,50.343792,50.232479,50.347066,2417481.636,0.994848,1381.203125,1381.203125,23.823532,7.171598,7.8e-05,1381.2,63.768075,A2,F1,use,1381.18_1381.21_1,0.000977,0.818972,1.172778
4,5,50.137472,50.062045,50.153684,2962899.68,0.995818,1381.20166,1381.20166,24.437774,7.356503,0.00012,1381.2,63.192133,A3,F1,use,1381.18_1381.21_2,0.000855,0.991294,1.529945
4,6,50.24927,50.163048,50.270826,2832139.005,0.999192,1381.202515,1381.202515,24.504021,7.376445,0.000126,1381.2,63.412471,A1,F1,use,1381.18_1381.21_2,0.000855,0.991294,1.36615
4,5,49.943361,49.880631,49.978936,2165896.122,0.991362,1381.201172,1381.201172,23.985728,7.220424,8.8e-05,1381.2,62.946289,A3,F1,use,1381.18_1381.21_3,0.001343,0.882985,1.611647
4,8,49.948208,49.926267,50.101794,3569687.236,0.997322,1381.202515,1381.202515,24.837926,7.476961,0.000158,1381.2,63.032544,A1,F1,use,1381.18_1381.21_3,0.001343,0.882985,1.257841
4,12,41.495379,41.406259,41.59723,2161419.058,0.975441,325.934418,325.934418,23.982743,7.219525,8.8e-05,325.93,52.246824,A3,F1,use,325.91_325.94_1,6.1e-05,0.995143,1.194172
4,6,41.5215,41.46216,41.599098,941580.6125,0.9999,325.934479,325.934479,22.915285,6.898188,4.2e-05,325.93,52.398392,A1,F1,use,325.91_325.94_1,6.1e-05,0.995143,1.194172
4,12,42.130884,41.916642,42.154689,3826488.783,0.973875,325.934265,325.934265,24.486048,7.371035,0.000124,325.93,53.307776,A2,F1,use,325.91_325.94_1,0.000214,0.992789,1.191347
4,4,17.497226,17.473407,17.531188,39945.30785,0.945696,332.175232,332.175232,18.224934,5.486252,2e-06,332.18,21.817468,A3,F1,use,332.16_332.19_0,0.000214,0.984216,1.181059
4,4,16.321788,16.321788,16.380585,9541.848003,0.938126,332.175018,332.175018,16.290613,4.903963,4.233572e-07,332.18,20.597412,A1,F1,use,332.16_332.19_0,0.000214,0.984216,1.181059
4,5,18.328848,18.241201,18.360923,78975.41527,0.963224,334.13501,334.13501,19.339676,5.821823,4e-06,334.14,23.130237,A1,F1,use,334.12_334.15_0,9.1e-05,0.991257,1.189509
4,6,18.640087,18.563859,18.73977,50480.2634,0.953198,334.135101,334.135101,18.24189,5.491356,2e-06,334.14,23.51345,A2,F1,use,334.12_334.15_0,9.1e-05,0.991257,1.189509
4,9,17.27441,17.127031,17.311255,31185.03538,0.960635,347.424683,347.424683,17.547024,5.282181,1e-06,347.42,21.779431,A2,F1,use,347.41_347.44_1,0.000275,0.972957,1.5404
