charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	10	16.113285	16.113285	16.066256	16.164234	862772.0636	72823.72668	61944.05509	5519.818089	0.948915	38.034544	379.968811
4	6	16.107175	16.107175	16.078645	16.164234	291499.6935	23786.17341	13052.33091	1143.005698	0.976365	9.970618	442.712494
4	5	16.149684	16.149684	16.097589	16.17464	767778.255	63170.82895	55740.31418	4586.170329	0.914389	17.655869	531.218079
4	17	16.136652	16.13867	16.053912	16.225446	2959176.986	289116.0667	336032.4569	33831.86861	0.993191	90.367223	464.244904
4	3	16.315368	16.315368	16.315368	16.392247	69483.82813	9886.714304	4652.634099	662.013958	0.974228	4.890432	495.763763
4	3	16.386176	16.386176	16.358503	16.392247	1352732.384	225005.3866	53355.09228	8874.765849	0.953385	38.82624	377.218567
4	12	16.409047	16.404803	16.328418	16.455727	4194095.286	703514.572	347930.7156	60554.23877	0.974863	127.275826	363.691925
4	10	16.412948	16.420726	16.358503	16.455727	3555522.207	740297.5135	244172.2143	43906.90931	0.957097	36.314401	724.065613
4	13	16.452184	16.452184	16.295087	16.484185	3166459.896	615496.6719	377815.9483	66890.49076	0.988911	75.298267	384.226196
4	10	16.472708	16.475577	16.340726	16.484185	1708247.795	361083.8547	199960.1885	37706.16456	0.981555	24.951781	505.755585
4	5	16.455727	16.455727	16.404548	16.475779	2657364.994	463036.2423	173537.9299	30238.35684	0.965077	59.735256	380.722351
4	6	16.40223	16.40223	16.358503	16.424094	2263111.791	400827.4227	92795.18261	15905.62139	0.978371	48.624712	395.212524
4	10	16.457216	16.459582	16.424094	16.542387	2537692.342	496272.8894	178876.8087	36171.94555	0.998182	62.688393	395.212097
4	4	16.522131	16.522131	16.522131	16.560709	1764299.15	397185.7609	69571.72235	15662.25177	0.914341	17.899585	547.467529
4	3	16.602534	16.602534	16.580684	16.614801	1104318.421	201260.8749	44722.88082	8150.698163	0.857943	28.967448	382.720154
4	11	16.535473	16.532331	16.475779	16.648576	1100694.678	223667.2341	140738.0578	27906.09328	0.999311	14.339882	503.443237
4	7	16.624194	16.621904	16.580684	16.660834	1915492.759	332848.774	120319.772	21262.73684	0.903751	29.890961	525.218872
4	18	16.555316	16.555316	16.455727	16.691596	4775565.514	935693.0145	776554.7253	149828.5187	0.974796	73.804358	499.198242
4	6	16.663016	16.663016	16.614801	16.726066	1149376.421	212150.9749	100725.3913	16992.02839	0.969894	15.763652	580.283875
4	21	16.602049	16.602049	16.475779	16.735746	11818154.52	2217343.028	1771659.415	326660.6344	0.980143	185.75065	501.477173
4	8	16.786579	16.789854	16.691596	16.822607	845293.7966	181763.8785	61551.9934	12462.56673	0.99308	8.969566	496.020386
4	4	16.808118	16.808118	16.777843	16.822607	3184547.717	670431.0983	165588.5534	34860.74809	0.94546	56.921194	461.450684
4	18	16.792813	16.792813	16.679319	16.879602	4235569.412	920073.6523	534059.5127	110989.639	0.96966	58.353147	478.226318
4	4	16.85234	16.85234	16.85234	16.879602	1467542.903	327430.3666	44238.86913	9870.341172	0.93998	19.913741	502.973267
4	18	16.814067	16.814067	16.711858	16.93622	20454735.66	4834934.785	2299158.311	499020.4219	0.978535	431.222847	382.181
4	5	16.902179	16.902179	16.863209	16.93622	1798833.779	400274.5392	101117.1487	22500.47812	0.991387	32.821331	466.949432
4	4	16.902179	16.902179	16.88994	16.93622	1848559.676	387051.8585	77841.40258	16298.45113	0.941509	22.256843	501.49057
4	37	16.401973	16.471311	16.231517	16.765997	1816903.626	340556.6215	303456.5803	55330.35	0.992492	17.341471	496.016418
4	13	16.78652	16.789452	16.765997	16.95657	840413.1176	180959.5179	104989.9016	22503.84655	0.99308	9.825535	496.017548
4	14	17.042705	17.000943	16.95657	17.139281	2501997.757	445682.1518	332273.2949	57437.1766	0.966505	61.072013	430.237457
4	7	17.099752	17.095632	17.050315	17.194506	850911.2603	128131.1963	59332.3666	9023.29651	0.971567	7.806729	496.015228
4	5	17.105181	17.105181	17.082852	17.194506	780808.8609	123741.4993	45762.32437	7252.349346	0.971567	7.806729	496.020935
4	89	16.12158	16.126945	16.016961	17.210691	24491759.27	2178940.951	5314729.198	720973.9149	0.991205	905.770334	442.966522
4	6	17.219605	17.219605	17.120954	17.223007	934238.5486	131645.0266	70963.91193	10044.41688	0.999979	23.594009	422.720123
4	25	17.095858	17.047136	16.916354	17.236897	19965188.82	3297277.465	4180548.704	654020.9593	0.983198	406.916694	476.740265
4	4	17.236897	17.236897	17.210691	17.267394	866425.5117	114078.4084	44588.86415	5870.81819	0.871547	6.083627	724.612183
4	22	17.095553	17.092951	16.999278	17.2855	3443267.201	484085.7629	639223.7337	95034.86184	0.969892	92.162814	404.439423
4	3	17.223007	17.223007	17.223007	17.2855	1176154.82	172078.2472	75569.46506	11056.24946	0.919318	27.232328	449.47644
4	9	17.266222	17.27441	17.127031	17.311255	1663633.942	264267.0632	212070.0571	31185.03538	0.960635	67.620549	347.424683
4	10	17.274063	17.274063	17.168018	17.328692	2691544.444	427078.8048	265589.9321	41126.94805	0.949347	65.134894	402.237427
4	16	17.228697	17.225608	17.098955	17.346083	6935877.506	1006347.086	961104.5712	140908.3138	0.984127	215.440464	386.223816
4	13	17.327276	17.327276	17.210691	17.405	9759521.968	1876081.27	1078411.271	200677.6108	0.948984	80.806202	620.009583
4	4	17.379316	17.379316	17.346083	17.405	3099620.664	660055.5077	162067.4649	34511.8111	0.947169	27.848011	510.275848
4	9	17.371495	17.371495	17.258132	17.428176	1150653.46	265732.0663	142124.8495	28552.93892	0.937623	14.998689	525.219299
4	3	17.448591	17.448591	17.405	17.468572	1667720.746	354758.7207	107728.4922	22916.08004	0.943109	34.738047	411.950714
4	13	17.393262	17.38986	17.267394	17.488513	9890949.727	2251575.688	1200032.759	247772.5467	0.985083	214.14104	370.946167
4	7	17.416318	17.416318	17.396589	17.511675	1904011.459	391534.7991	161896.9385	31135.29609	0.858329	22.519983	505.488373
4	56	16.475714	16.475714	16.097589	16.679319	150691201.7	34355554.4	56022772.23	9768780.141	0.998331	2140.143355	496.269165
4	61	16.782704	16.782704	16.679319	17.531548	125808738.1	26719734.57	41561353.19	7930376.813	1	1624.28806	496.269562
4	3	17.531548	17.531548	17.511675	17.559925	437126.0738	71390.83355	21232.25855	3467.623478	0.910358	10.705011	548.219055
4	3	17.531548	17.531548	17.531548	17.568364	1285343.406	198815.6853	52249.93242	8081.969439	0.876685	35.890542	411.950775
4	14	17.45013	17.447051	17.379316	17.594837	1954295.558	373385.433	258480.1996	47787.79683	0.97228	20.027752	547.467346
4	3	17.594837	17.594837	17.551467	17.594837	558216.6362	87412.56439	25149.41579	3938.211054	0.964407	15.936237	547.969543
4	13	17.472605	17.4693	17.396589	17.611416	2894161.198	526415.7722	418890.4586	72934.63058	0.965033	56.367439	433.211121
4	8	17.57071	17.57071	17.448591	17.611416	1375641.186	203602.7524	173090.5112	27999.45932	1	13.414097	662.82959
4	20	17.466304	17.378668	17.311255	17.648318	3621098.825	701929.1444	728704.2216	136260.3579	0.974065	46.996405	478.225677
4	26	17.412178	17.409097	17.258132	17.658651	24040069.29	5007107.815	4368168.291	832600.7153	0.977051	237.619181	544.510559
4	5	17.658651	17.658651	17.619874	17.672828	1035427.694	156598.2598	40018.65336	6052.427913	0.900806	17.410136	520.231628
4	13	17.655583	17.655583	17.559925	17.75423	1629168.806	247471.2175	217137.4782	31530.62931	1	32.327945	486.741913
4	8	17.611041	17.611041	17.531548	17.619874	1110112.154	160185.5166	75402.57462	11273.41252	0.939447	14.050402	505.723511
4	10	17.672753	17.672753	17.619874	17.740053	1331738.986	195905.3961	109444.2021	16017.5148	0.96665	16.992673	505.724304
4	15	17.675001	17.675001	17.580635	17.771917	5016449.946	734872.6286	603953.1968	86976.2192	0.964414	134.170476	396.933655
4	10	17.675616	17.675616	17.611416	17.771917	2041681.019	298744.4611	243673.2815	34885.00335	0.933073	59.050002	412.98349
4	4	17.740053	17.740053	17.731598	17.771917	642378.0927	86573.86694	24517.33777	3304.223419	0.961781	20.871811	505.972534
4	4	17.771917	17.771917	17.75423	17.801385	720975.5237	94890.17158	31569.97649	4155.037705	1	10.286416	547.969727
4	6	17.816116	17.816116	17.740053	17.818739	504815.2494	82499.25623	12700.62561	1852.187281	1	16.580539	548.220093
4	4	17.818739	17.818739	17.75423	17.818739	413917.2248	54477.12882	18216.84804	2397.584632	1	4.701514	547.466858
4	17	17.663397	17.663397	17.594837	17.859726	2303598.751	348200.5584	416759.0435	61176.67358	0.97405	39.218163	496.268677
4	10	17.819873	17.819873	17.717394	17.859726	8014445.901	1330028.543	612449.738	95641.2368	0.958046	99.236916	519.451843
4	7	17.815276	17.822114	17.740053	17.859726	1922357.536	317776.5922	151983.8666	24000.66353	0.93376	34.947611	449.989685
4	4	17.843643	17.843643	17.771917	17.859726	1794517.322	236743.7101	80251.71192	10587.29709	0.992787	16.644988	468.243835
4	3	17.843643	17.843643	17.801385	17.859726	1782647.999	262115.571	81044.41375	11916.54371	1	32.337638	437.456848
4	3	17.859726	17.859726	17.818739	17.859726	1232808.261	203198.9882	49270.96497	8121.141416	1	19.434981	532.217285
4	30	17.731291	17.67371	17.405	17.884839	18973053.4	2615003.25	6380129.791	984608.5554	0.974597	457.983857	442.967987
4	22	17.67464	17.671638	17.488513	17.818739	24246101.14	3559942.925	4299007.867	631133.1656	0.991685	659.996735	418.721313
4	11	17.820905	17.82395	17.717394	17.884839	4519501.715	764359.3437	433938.5937	70709.70983	0.933573	56.28637	533.213196
4	9	17.843012	17.843012	17.740053	17.884839	8701251.81	1643926.679	638188.6992	112722.5518	0.981421	243.608552	347.424774
4	4	17.884839	17.884839	17.818739	17.884839	4743652.991	781877.8623	219282.3435	36143.45534	0.925644	35.630393	552.974121
4	3	17.884839	17.884839	17.843643	17.884839	6770459.307	1278892.956	184034.4103	34762.82779	0.974663	53.764543	502.772583
4	6	17.970799	17.970799	17.884839	17.973763	6191551.602	5765595.761	259598.0257	216086.5063	0.975082	22.414113	463.990356
4	4	18.042539	18.042539	17.987248	18.085116	8875238.538	5617239.581	966977.5481	612011.1064	0.968206	88.681852	347.4245
4	7	18.112941	18.112941	18.008029	18.126478	4691318.974	2628749.904	254741.5595	156902.9482	0.983066	14.122759	463.995972
4	5	18.099291	18.099291	18.085116	18.142572	8356838.218	4341214.659	477777.0399	248195.8649	0.984134	39.750403	533.212097
4	7	17.993136	17.993136	17.987248	18.193319	2773838.151	1752651.89	230060.2622	120967.8632	0.990121	8.130954	463.744049
4	6	18.261145	18.238044	18.234744	18.333749	4140307.1	1098583.192	340021.7403	84644.02904	0.969894	82.330622	386.470062
4	3	18.460925	18.460925	18.420334	18.460925	2324045.836	539346.9102	71924.90419	16691.78561	0.937038	59.218865	482.968109
4	18	18.406666	18.406666	18.193319	18.524374	2311139.172	674560.008	269596.5705	69767.13823	0.984191	14.606423	463.995178
4	7	18.439077	18.439077	18.394417	18.514656	5331222.202	1129996.379	421131.4674	93976.06921	0.985681	37.887807	531.257446
4	3	18.452698	18.452698	18.452698	18.514656	934900.9074	200107.2148	62767.20871	13434.76214	0.879264	12.579126	418.721527
4	7	18.485945	18.485945	18.420334	18.563859	5048262.932	1027066.232	486447.5653	95828.61459	0.960342	41.751571	482.717285
4	6	18.511984	18.508278	18.452698	18.563859	3805906.475	724845.2137	280409.53	53129.51597	0.865204	59.230253	444.716156
4	5	18.514656	18.514656	18.460925	18.563859	3437504.818	723685.2248	253644.775	53398.89999	0.950469	41.22051	502.774109
4	3	18.563859	18.563859	18.485831	18.563859	1647735.827	335246.3534	119970.2652	24409.00614	0.958653	14.878426	544.758118
4	5	18.524374	18.524374	18.485831	18.60129	1498140.758	304809.9202	162991.0812	33161.96973	0.859353	11.871843	705.546753
4	3	18.563859	18.563859	18.514656	18.60129	1709822.163	319772.2392	143875.0918	26907.62892	0.879958	23.64355	487.478912
4	48	17.990535	17.948099	17.843643	18.627065	1066705216	1124159461	271169098	152671268.1	0.989693	4312.876996	464.244629
