time,mz,charge,intensity,quality,width,rt_start,rt_end,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,Ttime,sample,fraction,status,group,mz_error,score,adj_score
41.051519,359.483131,4,39958170.0,0.840003,10.621848,40.871027,41.176293,359.483131,24.567668,359.48,7.395605,7.9e-05,51.257332,A3,F1,use,359.46_359.49_2,0.000486,0.983104,1.179725
21.357809,361.920253,4,395392900.0,0.828012,6.96901,21.249161,21.471859,361.920253,27.526217,361.92,8.286217,0.000615,26.586007,A2,F1,use,361.91_361.94_0,0.000253,0.983999,1.180799
21.91289,361.920505,4,348045600.0,0.845608,5.026056,21.82783,21.988414,361.920505,27.690382,361.92,8.335635,0.000689,27.563548,A3,F1,use,361.91_361.94_0,0.000253,0.983999,1.180799
38.992088,363.204507,4,39935420.0,0.832927,8.231298,38.850804,39.067733,363.204507,24.218671,363.2,7.290546,6.2e-05,49.091479,A2,F1,use,363.18_363.21_1,4.1e-05,0.993004,1.191604
38.552456,363.204548,4,42496960.0,0.737526,6.776088,38.458388,38.655118,363.204548,24.591738,363.2,7.402851,8e-05,48.504995,A1,F1,use,363.18_363.21_1,4.1e-05,0.993004,1.191604
38.300704,363.204296,4,44698230.0,0.764815,10.880772,38.180969,38.480468,363.204296,24.729395,363.2,7.44429,8.8e-05,47.853133,A3,F1,use,363.18_363.21_1,0.000252,0.992041,1.190449
16.49293,363.691905,4,16949490.0,0.861302,10.938314,16.303372,16.651616,363.691905,23.265621,363.69,7.00365,3.2e-05,20.750676,A1,F1,use,363.67_363.7_1,0.000101,0.992022,1.190427
16.398699,363.692006,4,13854880.0,0.805,7.045351,16.277139,16.502168,363.692006,22.691396,363.69,6.830791,2.2e-05,20.272964,A2,F1,use,363.67_363.7_1,0.000101,0.992022,1.190427
17.421633,363.691914,4,23680880.0,0.874267,6.09649,17.314113,17.512619,363.691914,23.8129,363.69,7.168397,4.7e-05,22.005512,A3,F1,use,363.67_363.7_1,1e-05,0.986742,1.18409
42.030278,363.708733,4,52870350.0,0.817834,10.263912,41.878031,42.105858,363.708733,24.906838,363.71,7.497705,0.0001,52.880636,A1,F1,use,363.69_363.72_1,7.9e-05,0.853177,1.201273
42.588001,363.708654,4,53105650.0,0.762409,10.534108,42.444405,42.736632,363.708654,24.629867,363.71,7.414329,8.3e-05,53.680706,A2,F1,use,363.69_363.72_1,7.9e-05,0.853177,1.201273
17.987747,369.700706,4,18025010.0,0.798519,11.11523,17.809564,18.130063,369.700706,23.354379,369.7,7.030369,3.4e-05,22.631387,A1,F1,use,369.68_369.71_0,0.000131,0.993769,1.192523
18.190538,369.700837,4,18627410.0,0.842552,11.133758,18.02935,18.378676,369.700837,23.118429,369.7,6.959341,2.9e-05,22.559771,A2,F1,use,369.68_369.71_0,0.000131,0.993769,1.192523
18.428597,370.9458,4,52422120.0,0.838996,6.163606,18.319733,18.53707,370.9458,24.959353,370.95,7.513514,0.000104,23.251653,A3,F1,use,370.93_370.96_1,0.000106,0.983084,1.1797
17.270121,370.945694,4,45048280.0,0.842572,6.973651,17.149605,17.384195,370.945694,24.675851,370.95,7.428171,8.5e-05,21.728503,A1,F1,use,370.93_370.96_1,0.000231,0.971778,1.166134
17.393151,370.945925,4,40781640.0,0.851569,8.032241,17.258132,17.531548,370.945925,24.248922,370.95,7.299653,6.3e-05,21.542118,A2,F1,use,370.93_370.96_1,0.000231,0.971778,1.166134
33.286885,372.431463,4,37244870.0,0.746022,6.553113,33.17566,33.379989,372.431463,24.118044,372.43,7.260255,5.8e-05,41.803553,A2,F1,use,372.41_372.44_1,0.000421,0.988249,1.185899
32.921417,372.431042,4,23561130.0,0.7625,5.065708,32.847482,32.950744,372.431042,23.805586,372.43,7.166195,4.7e-05,41.186858,A3,F1,use,372.41_372.44_1,0.000421,0.988249,1.185899
32.1129,372.431245,4,35443850.0,0.832344,6.821976,32.021824,32.136,372.431245,24.329914,372.43,7.324034,6.7e-05,40.40303,A1,F1,use,372.41_372.44_1,0.000203,0.987755,1.185306
